,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
2536,COMP‐40976,11131 Vanowen Street,Los Angeles,91605,Stationary Source,Other Stationary Sources,12/2/2018 16:00
2537,COMP‐40984,nan,nan,nan,Stationary Source,Asbestos,12/10/2018 10:00
2538,COMP‐40985,nan,Santa Rosa,95404,Stationary Source,Smoke,12/10/2018 11:30
2539,COMP‐40986,nan,San Diego,nan,Stationary Source,Gas Stations,12/10/2018 14:00
2540,COMP‐40987,nan,Modesto,nan,Stationary Source,nan,nan
2541,COMP‐40988,nan,Oceanside,92058,Vehicle,Trucks,nan
2542,COMP‐40994,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,12/12/2018 3:30
2543,COMP‐40997,4563 Unname,Los Angeles,90032,Stationary Source,Painting,12/11/2018 23:00
2544,COMP‐41000,10481 East Stockton Boulevard,Elk Grove,95624,nan,nan,12/11/2018 16:00
2545,COMP‐41002,nan,Simi Valley,nan,Stationary Source,Gas Stations,12/13/2018 12:00
2546,COMP‐41008,10205 Morgan Territory Road,Livermore,94551,Stationary Source,Dust,nan
2547,COMP‐41010,12100 Stevens Canyon Road,Cupertino,95014,nan,nan,nan
2548,COMP‐41015,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,12/17/2018 8:25
2549,COMP‐41018,2469 Cahuilla Hills Drive,Palm Springs,92264,nan,nan,nan
2550,COMP‐41019,2469 Cahuilla Hills Drive,Palm Springs,92264,Stationary Source,Odors,nan
2551,COMP‐41020,1444 Lathrop Road,Lathrop,95330,Stationary Source,Odors,12/17/2018 16:00
2552,COMP‐41021,1256 Lathrop Road,Lathrop,95330,Stationary Source,Other Stationary Sources,12/17/2018 2:36
2553,COMP‐41025,14340 Christine Drive,Whittier,90605,nan,nan,nan
2554,COMP‐41026,1000 Broadway,Oakland,94607,Stationary Source,Smoke,12/17/2018 18:10
2555,COMP‐41030,12350 Doherty Street,Riverside,92503,Stationary Source,Dust,12/18/2018 2:00
2556,COMP‐41031,10127 Foxboro Circle,San Ramon,94583,Vehicle,Other Vehicles,nan
2557,COMP‐41032,nan,Gilroy,95020,Stationary Source,Painting,12/12/2018 15:00
2558,COMP‐41033,nan,nan,nan,Stationary Source,Smoke,12/12/2018 17:00
2559,COMP‐41036,47471 Hoyt Street,Fremont,94539,Stationary Source,Other Stationary Sources,12/19/2018 16:00
2560,COMP‐41039,1104 Industrial Avenue,South Lake Tahoe,96150,Stationary Source,Smoke,12/20/2018 16:00
2561,COMP‐41041,198 Sudbury Drive,Milpitas,95035,nan,nan,12/20/2018 16:00
2562,COMP‐41043,nan,Castaic,91384,Stationary Source,Other Stationary Sources,7/7/2018 1:00
2563,COMP‐41048,nan,Oroville,95965,Vehicle,Other Vehicles,nan
2564,COMP‐41049,nan,Folsom,nan,Vehicle,Cars,12/25/2018 9:00
2565,COMP‐41050,nan,Glendora,91740,Stationary Source,Asbestos,12/26/2018 3:00
2566,COMP‐41051,nan,Walnut Creek,nan,Stationary Source,Smoke,12/22/2018 19:00
2567,COMP‐41058,nan,Chico,95928,Vehicle,Off Road Equipment,12/29/2018 16:00
2568,COMP‐41059,17630 Ventura Boulevard,Los Angeles,91316,Vehicle,Trucks,12/30/2018 16:00
2569,COMP‐41068,1601 Dixon Landing Road,Milpitas,95035,Stationary Source,Odors,nan
2570,COMP‐41070,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,1/3/2019 6:40
2571,COMP‐41071,54 Plateau,Aliso Viejo,92656,Stationary Source,Odors,1/2/2019 8:00
2572,COMP‐41074,nan,nan,nan,Stationary Source,nan,1/3/2019 12:30
2573,COMP‐41079,196 Images Circle,Milpitas,95035,nan,nan,1/4/2019 6:00
2574,COMP‐41081,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,1/4/2019 7:25
2575,COMP‐41082,570 Tarento Drive,San Diego,92106,Vehicle,nan,nan
2576,COMP‐41085,7422 Archibald Avenue,Rancho Cucamonga,91730,nan,nan,1/5/2019 1:00
2577,COMP‐44040,435 Winton Parkway,Livingston,95334,Stationary Source,Gas Stations,7/11/2019 12:00
2578,COMP‐44041,101 Rich Street,Larkspur,94904,Stationary Source,Dust,7/11/2019 12:00
2579,COMP‐44049,nan,Garden Grove,92840,Stationary Source,Other Stationary Sources,7/14/2019 12:00
2580,COMP‐44050,247th Pl,Harbor City,90710,Stationary Source,Odors,7/15/2019 8:30
2581,COMP‐44059,nan,nan,nan,nan,nan,7/17/2019 0:00
2582,COMP‐44060,136 South Barrington Place,Los Angeles,90049,Stationary Source,Asbestos,7/17/2019 0:00
2583,COMP‐44069,nan,Downey,90241,Stationary Source,Odors,nan
2584,COMP‐44070,nan,La Verne,91750,Stationary Source,Other Stationary Sources,nan
2585,COMP‐44071,nan,Sunnyvale,94085,Stationary Source,Dust,nan
2586,COMP‐44072,nan,San Diego,92114,Stationary Source,Odors,nan
2587,COMP‐44073,nan,Sunnyvale,94089,Vehicle,Other Vehicles,nan
2588,COMP‐44074,nan,Oakland,94607,nan,nan,nan
2589,COMP‐44075,1102 Garden Avenue,Modesto,95351,Vehicle,Other Vehicles,nan
2590,COMP‐44077,29475 Fresno Coalinga Road,Coalinga,93210,Stationary Source,Dust,7/18/2019 0:00
2591,COMP‐44078,2029 Alvarado Street,San Leandro,94577,Stationary Source,Painting,nan
2592,COMP‐44079,12437 Osborne Street,Los Angeles,91331,Stationary Source,Dust,nan
2593,COMP‐44080,11779 Slauson Avenue,Santa Fe Springs,90670,Stationary Source,Odors,nan
2594,COMP‐44082,21210 Elmwood Street,Perris,92570,Vehicle,Trucks,nan
2595,COMP‐44084,14314 Telegraph Road,Whittier,90604,Stationary Source,Odors,nan
2596,COMP‐44086,5010 Deschutes Road,Anderson,96007,Stationary Source,Odors,nan
2597,COMP‐44089,900 Brookside Drive,Richmond,94801,Stationary Source,Odors,nan
2598,COMP‐44090,10719 La Reina Avenue,Downey,90241,Stationary Source,Asbestos,5/29/2019 15:00
2599,COMP‐44092,90 Cisco Road,Soda Springs,95728,Stationary Source,nan,7/17/2019 12:00
2600,COMP‐44093,nan,Los Angeles,90272,nan,nan,7/18/2019 12:00
2601,COMP‐44094,nan,Boron,93516,Stationary Source,Odors,7/18/2019 12:00
